Time,Depth,Acceleration
0,3,-1.68870325169218e-05
3.39258424800482,3.00094512873021,-1.41150349927113e-05
6.78516849600965,3.00112788110489,-1.12694571181905e-05
10.1777527440145,3.00142321386237,-8.5533113494396e-06
13.5703369920193,3.00172970331554,-6.18271126731958e-06
16.9629212400246,3.00200408901135,-4.2987909866439e-06
20.3555054880294,3.00225477390437,-3.0275618663271e-06
23.7480897360342,3.00249611523319,-2.42967761581026e-06
27.140673984039,3.00274277744569,-2.30011287201258e-06
30.5332582320439,3.00301015327303,-2.66120655746815e-06
33.9258424800487,3.0033156387224,-3.295817603534e-06
37.3184267280535,3.00361922689898,-3.86819229056792e-06
40.7110109760583,3.00369432949027,-4.09964499850117e-06
44.1035952240632,3.00370561580308,-3.95274626866243e-06
47.4961794720684,3.00368429596803,-3.47226995270813e-06
50.8887637200733,3.00356279323749,-2.76268915802234e-06
54.2813479680781,3.00343352938237,-1.96227822320175e-06
57.6739322160829,3.00331706195726,-1.21494066369677e-06
61.0665164640877,3.0032101671288,-6.14414438309306e-07
64.4591007120925,3.00310678600035,-2.08038176808883e-07
67.8516849600974,3.0030006448623,-1.09703249079613e-08
71.2442692081022,3.00288510497339,-3.51445477780015e-09
74.636853456107,3.002752625793,-1.82533132025367e-07
78.0294377041123,3.00262753260293,-5.41150790499823e-07
81.4220219521171,3.0026001583045,-9.9230033761313e-07
84.8146062001219,3.00259604453305,-1.40171853763149e-06
88.2071904481268,3.00253679369689,-1.6450507227638e-06
91.5997746961316,3.00228601434917,-1.61817522758469e-06
94.9923589441364,3.0020288954831,-1.30782016921676e-06
98.3849431921412,3.00179773269789,-8.09888945588709e-07
101.777527440146,3.00158489707136,-2.10374356548525e-07
105.170111688151,3.00137816259722,4.62386842144608e-07
108.562695936156,3.00116495358176,1.19027618444787e-06
111.955280184161,3.00093189571216,1.92035567779993e-06
115.347864432166,3.00066373203282,2.52834698574831e-06
118.740448680171,3.00042536801851,2.87548221467358e-06
122.133032928175,3.00037897463542,2.91471684922899e-06
125.52561717618,3.00037200270243,2.67500277117892e-06
128.918201424185,3.00038306926244,2.2268646276208e-06
132.31078567219,3.00042564435786,1.67728936502608e-06
135.703369920195,3.00046819916713,1.13539552635207e-06
139.0959541682,3.0005064333847,6.67324533758384e-07
142.488538416205,3.00054175797277,2.63110585180981e-07
145.88112266421,3.00057622103328,-8.45863779943531e-08
149.273706912214,3.00061192312554,-3.61608119129133e-07
152.666291160219,3.00065111041811,-6.0874069164684e-07
156.058875408224,3.00069635585027,-8.52326022313946e-07
159.451459656229,3.00073381111601,-1.05965989918302e-06
162.844043904234,3.0007403659386,-1.19273411310491e-06
166.236628152239,3.00074135098821,-1.22397166558589e-06
169.629212400244,3.0007121082245,-1.14126336404834e-06
173.021796648249,3.0006252406814,-9.51031921194728e-07
176.414380896254,3.00054067475774,-6.88407582040482e-07
179.806965144258,3.00046475971132,-4.03263416457504e-07
183.199549392263,3.00039437982285,-1.21244376041082e-07
186.592133640268,3.00032541368656,1.48318438645807e-07
189.984717888273,3.0002536481869,3.97788907475401e-07
193.377302136278,3.00017455431872,6.20545812746772e-07
196.769886384283,3.00008292435387,7.86755099041466e-07
200.162470632288,3.00001317080083,8.59764266951996e-07
203.555054880293,3.0000019792896,8.34836488815966e-07
206.947639128297,3.00000029744488,7.30146217932957e-07
210.340223376302,3.0000000446996,5.75694549670166e-07
213.732807624307,3.00000000671739,4.09778018318239e-07
217.125391872312,3.00000000100948,2.64399948564707e-07
220.517976120317,3.0000000001517,1.52893594575231e-07
223.910560368322,3.0000000000228,7.18705811220872e-08
227.303144616327,3.00000000000342,2.19754363128452e-08
230.695728864332,3.00000000000052,3.43869088347811e-09
234.088313112336,3.00000000000007,5.16761679276853e-10
237.480897360341,3.00000000000001,7.7658228459474e-11
240.873481608346,3,1.16703723171273e-11
244.266065856351,3,1.75380734164319e-12
247.658650104356,3,2.63558386744536e-13
251.051234352361,3,3.96051653803337e-14
254.443818600365,3,5.94959875027702e-15
257.836402848371,3,3.03263734404126e-12
261.228987096375,3,9.16477622525764e-09
264.62157134438,3,4.50020525042845e-08
268.014155592385,3,1.12254935751804e-07
271.40673984039,3,2.09224449606055e-07
274.799324088395,3,3.4093945972074e-07
278.1919083364,3,5.02023586386264e-07
281.584492584405,3,6.66794686976906e-07
284.97707683241,3,7.97871557966797e-07
288.369661080415,3.00000001577685,8.61216438132988e-07
291.762245328419,3.00004765994999,8.3193186949409e-07
295.154829576424,3.00013602516367,7.02803568920008e-07
298.547413824429,3.00021856555279,5.01729996696802e-07
301.939998072434,3.00029289221584,2.59023156783193e-07
305.332582320439,3.00036259284349,-2.12800831037416e-08
308.725166568443,3.00043181482508,-3.33605915216614e-07
312.117750816448,3.00050481178585,-6.70377941875577e-07
315.510335064453,3.00058623446195,-1.01754115097786e-06
318.902919312458,3.0006809492612,-1.32673942965976e-06
322.295503560463,3.00073242193269,-1.54032403302587e-06
325.688087808468,3.00074015717407,-1.6223334061471e-06
329.080672056473,3.00074089950407,-1.56036203360717e-06
332.473256304478,3.00068717230907,-1.36323150163688e-06
335.865840552482,3.00059896348014,-1.06375293016959e-06
339.258424800487,3.00051714498451,-7.21210578974255e-07
342.651009048493,3.0004433106759,-3.71641756730623e-07
346.043593296497,3.00037379077235,-1.38042755808434e-08
349.436177544502,3.00030443647713,3.42199574402467e-07
352.828761792507,3.00023097770193,6.93958665695538e-07
356.221346040512,3.00014871903397,1.04259658051929e-06
359.613930288517,3.00005378257187,1.34661191629286e-06
363.006514536522,3.00000808236999,1.55130986317234e-06
366.399098784526,3.00000121460731,1.6227215106658e-06
369.791683032531,3.00000154689087,1.55000077591908e-06
373.184267280536,3.0000609983369,1.34374480944182e-06
376.576851528541,3.00014902682059,1.03866568651719e-06
379.969435776546,3.00023014516637,6.95039976512245e-07
383.362020024551,3.00030351209099,3.452414051999e-07
386.754604272556,3.00037287497126,-1.31978937515832e-08
390.147188520561,3.00044238536667,-3.68476167013192e-07
393.539772768565,3.00051633205006,-7.20175015778357e-07
396.93235701657,3.00059945720993,-1.06768276610838e-06
400.324941264575,3.00069407984342,-1.36591701942227e-06
403.71752551258,3.00073439517829,-1.56152640551843e-06
407.110109760585,3.00074045371067,-1.62229253633981e-06
410.50269400859,3.00073852381984,-1.53891899286576e-06
413.895278256595,3.00067389317118,-1.32377850845647e-06
417.2878625046,3.00058609731046,-1.01350136109567e-06
420.680446752604,3.00050566195285,-6.69831489442344e-07
424.073031000609,3.00043273833059,-3.34995491739982e-07
427.465615248614,3.00036350895624,-2.20208553665274e-08
430.858199496619,3.00029381859909,2.56743149767095e-07
434.250783744624,3.0002193576533,5.01761352487238e-07
437.643367992629,3.00013533511177,7.05565429892149e-07
441.035952240634,3.00004157050534,8.31974092547902e-07
444.428536488639,3.00000624715764,8.59367197258214e-07
447.821120736643,3.00000093881415,7.95605252802869e-07
451.213704984648,3.00000014108368,6.63920959942237e-07
454.606289232653,3.00000002120186,4.99817084614255e-07
457.998873480658,3.00000000318619,3.40303504064585e-07
461.391457728663,3.00000000047882,2.11842627874877e-07
464.784041976668,3.00000000007196,1.3156032219445e-07
468.176626224673,3.00000000001081,1.11887430471661e-07
471.569210472678,3.00000000000163,1.55724260162653e-07
474.961794720683,3.00000000000025,2.55625400529945e-07
478.354378968687,3.00000000000004,3.98846436287838e-07
481.746963216692,3,5.650888571737e-07
485.139547464697,3,7.21984673802408e-07
488.532131712702,3,8.31098353854471e-07
491.924715960707,3.00000735569682,8.62188916489132e-07
495.317300208711,3.00008084883358,7.95014275100421e-07
498.709884456717,3.00016804074183,6.33546048972875e-07
502.102468704722,3.00024716180356,4.14635457988973e-07
505.495052952726,3.0003192692006,1.5882368317318e-07
508.887637200731,3.00038830058239,-1.349526010487e-07
512.280221448736,3.00045842154443,-4.56671271569864e-07
515.672805696741,3.00053398974849,-8.00106133037375e-07
519.065389944746,3.00061989966536,-1.14092002575915e-06
522.457974192751,3.00071027805686,-1.42005047513682e-06
525.850558440756,3.00073681740529,-1.58746597621377e-06
529.243142688761,3.00074080570161,-1.61609124785714e-06
532.635726936765,3.00073102535773,-1.5013613792459e-06
536.02831118477,3.00065403845391,-1.26099508978875e-06
539.420895432775,3.00056724557546,-9.3751136384168e-07
542.81347968078,3.00048875932893,-5.91940761934218e-07
546.206063928785,3.00041702457346,-2.51068467337419e-07
549.59864817679,3.00034805656863,8.20133245546112e-08
552.991232424794,3.00027768340043,3.93907373296356e-07
556.383816672799,3.00020152018804,6.88121634434366e-07
559.776400920804,3.00011461786061,9.53060080156577e-07
563.168985168809,3.00002678431559,1.1419273737808e-06
566.561569416814,3.00000402510964,1.22361445438999e-06
569.954153664819,3.00000060488787,1.1918874014928e-06
573.346737912824,3.00000704320029,1.05819795352767e-06
576.739322160829,3.00004704226899,8.50926264559624e-07
580.131906408834,3.00009021706368,6.10064913471007e-07
583.524490656839,3.00012915134802,3.76902932006395e-07
586.917074904844,3.00016484409836,1.67191779855515e-07
590.309659152848,3.00019930807585,-1.54100164843169e-08
593.702243400853,3.0002346329409,-1.63098927443088e-07
597.094827648858,3.00027302581281,-2.83225836077806e-07
600.487411896863,3.00031698942254,-3.76364530281867e-07
603.879996144868,3.00035934324649,-4.25455613389917e-07
607.272580392872,3.00036904050668,-4.24719754829011e-07
610.665164640877,3.00037049779743,-3.81269885672854e-07
614.057748888882,3.00037071713892,-3.08499885123941e-07
617.450333136887,3.00037075162782,-2.25237351623834e-07
620.842917384892,3.00037075821193,-1.48875115200964e-07
624.235501632897,3.00037076042905,-9.11419208836705e-08
627.628085880902,3.00037076189613,-5.95732460765384e-08
631.020670128907,3.00037076322731,-5.9156815900566e-08
634.413254376911,3.00037076458313,-9.00543473662179e-08
637.805838624917,3.00037076606051,-1.4731296928816e-07
641.198422872921,3.00037076775785,-2.23550299605616e-07
644.591007120926,3.00037076930266,-3.0710918840575e-07
647.983591368931,3.00037076961645,-3.80334181593474e-07
651.376175616936,3.0003707696636,-4.24643347930918e-07
654.768759864941,3.00035955512342,-4.26290204581358e-07
658.161344112946,3.00031714704799,-3.77835964000417e-07
