Distance,Z_fondale,Z_AUV
0,-23.5875000953674,-20.5875000953674
6.78516849600965,-23.5937892721684,-20.5928441434382
13.5703369920193,-23.6003494106599,-20.599221529555
20.3555054880289,-23.6086920316357,-20.6072688177733
27.1406739840386,-23.6187787947922,-20.6170490914767
33.9258424800491,-23.6303849151739,-20.6283808261625
40.7110109760588,-23.6433847841182,-20.6411300102139
47.4961794720684,-23.6577399274826,-20.6552438122494
54.2813479680781,-23.6734950956251,-20.6707523181794
61.0665164640877,-23.6907828024161,-20.687772649143
67.8516849600974,-23.7098359273682,-20.7065202886458
74.636853456107,-23.7306037358239,-20.7269845089249
81.4220219521167,-23.7515677118079,-20.7478733823176
88.2071904481263,-23.7725316877919,-20.7688260719888
94.9923589441369,-23.7933425087337,-20.7896582127657
101.777527440147,-23.8133661330305,-20.809803339793
108.562695936156,-23.8326510986716,-20.8292175692892
115.347864432166,-23.8512903181562,-20.8479732561989
122.133032928175,-23.8693346940521,-20.8661245269233
128.918201424185,-23.8867980350015,-20.8836912490012
135.703369920195,-23.903658461353,-20.9006578164907
142.488538416204,-23.9198561909417,-20.9169710859683
149.273706912214,-23.9352879032713,-20.9325352774783
156.058875408225,-23.9500196862809,-20.947392153678
162.844043904234,-23.9646944054927,-20.9620942471882
169.629212400244,-23.9793691247046,-20.9767730801715
176.414380896254,-23.9936536844293,-20.9911168907324
183.199549392263,-24.0063287322011,-21.0040427178519
189.984717888273,-24.0175436114297,-21.0155147159466
196.769886384282,-24.0274773813661,-21.0256796486682
203.555054880292,-24.0362260404713,-21.0346411433999
210.340223376303,-24.043811860528,-21.0424336979308
217.125391872312,-24.0501856567978,-21.049020703216
223.910560368322,-24.0552218234513,-21.0542899277391
230.695728864332,-24.0587066045044,-21.0580428724715
237.480897360341,-24.0608734018887,-21.0604480338702
244.266065856351,-24.0629698474698,-21.0625908728344
251.051234352361,-24.065066293051,-21.0646942903485
257.83640284837,-24.0672433508537,-21.0668602815913
264.62157134438,-24.0696926498554,-21.0692670054975
271.40673984039,-24.0723825465302,-21.071914347363
278.1919083364,-24.0752843106204,-21.0747778772357
284.97707683241,-24.0783829011496,-21.0778411431768
291.762245328419,-24.0816754948782,-21.0810992738449
298.547413824429,-24.0851711982316,-21.0845592751061
305.332582320439,-24.0888919637712,-21.0882408533531
312.117750816448,-24.0928746190177,-21.0921782631675
318.902919312458,-24.0970612676721,-21.0963274565561
325.688087808468,-24.1012540788631,-21.1005137129245
332.473256304478,-24.1054468900542,-21.104705539066
339.258424800488,-24.109444125866,-21.1087320176415
346.043593296497,-24.1128925611345,-21.1122673204531
352.828761792507,-24.1158651363215,-21.1153244615638
359.613930288517,-24.1184171154013,-21.11795235569
366.399098784526,-24.1205766801374,-21.1201823003146
373.184267280536,-24.122347702913,-21.1220222892264
379.969435776546,-24.1237101421523,-21.1234564939654
386.754604272555,-24.1246180320043,-21.1244434776856
393.539772768566,-24.1249952818006,-21.1249123574468
400.324941264576,-24.125,-21.1249868291992
407.110109760585,-24.125,-21.1249980207104
413.895278256595,-24.125,-21.1249997025551
420.680446752604,-24.125,-21.1249999553004
427.465615248614,-24.125,-21.1249999932826
434.250783744624,-24.125,-21.1249999989905
441.035952240633,-24.125,-21.1249999998483
447.821120736643,-24.125,-21.1249999999772
454.606289232654,-24.125,-21.1249999999966
461.391457728663,-24.125,-21.1249999999995
